"headword"	"pos"	"count"	"%"	"words"
"ago, agere, egi, actus"	"V"	5	0.0	"agente; agit; ago; egerunt; egisset"
"aliquis, aliqua, aliquid"	"PRON"	5	0.0	"aliquid; aliquis"
"bene, melius, optime"	"ADV"	5	0.0	"bene; melius"
"carus, cara -um, carior -or -us, carissimus -a -um"	"ADJ"	5	0.0	"caro"
"consummo, consummare, consummavi, consummatus"	"V"	5	0.0	"consummaretur; consummata; consummati; consummatum; consummavi"
"converto, convertere, converti, conversus"	"V"	5	0.0	"conversa; conversus; convertantur"
"desero, deserere, deserui, desertus"	"V"	5	0.0	"deserto; desertum"
"discumbo, discumbere, discubui, discubitus"	"V"	5	0.0	"discumbentibus; discubuerunt; discumbentium; discumbere"
"donec"	"CONJ"	5	0.0	"donec"
"eligo, eligere, elegi, electus"	"V"	5	0.0	"elegi; elegerim; elegistis"
"exalto, exaltare, exaltavi, exaltatus"	"V"	5	0.0	"exaltari; exaltatus; exaltaveritis; exaltavit"
"gens, gentis"	"N"	5	0.0	"gens; gente; gentem"
"haurio, haurire, hausi, haustus"	"V"	5	0.0	"haurire; haurias; haurierant; haurite"
"honorifico, honorificare, honorificavi, honorificatus"	"V"	5	0.0	"honorificat; honorificabit; honorificant; honorificent"
"inclino, inclinare, inclinavi, inclinatus"	"V"	5	0.0	"inclinans; inclinasset; inclinato; inclinavit"
"infirmo, infirmare, infirmavi, infirmatus"	"V"	5	0.0	"infirmabatur; infirmabantur; infirmatur"
"initium, initi(i)"	"N"	5	0.0	"initio; initium"
"iste, ista, istud"	"PRON"	5	0.0	"iste; ista; istius; istum"
"lapido, lapidare, lapidavi, lapidatus"	"V"	5	0.0	"lapidare; lapidamus; lapidarent; lapidatis"
"ligo, ligare, ligavi, ligatus"	"V"	5	0.0	"ligaverunt; ligata; ligatum; ligatus"
"luo, luere, lui, lutus"	"V"	5	0.0	"lutum"
"malus, mala -um, pejor -or -us, -"	"ADJ"	5	0.0	"mala; male"
"mons, montis"	"N"	5	0.0	"montem; monte"
"nec"	"CONJ"	5	0.0	"nec"
"ostendo, ostendere, ostendi, ostensus"	"V"	5	0.0	"ostende; ostendi; ostendis; ostendit"
"ostium, osti(i)"	"N"	5	0.0	"ostium"
"plenus, plena -um, plenior -or -us, plenissimus -a -um"	"ADJ"	5	0.0	"plenum; plenam"
"priusquam"	"CONJ"	5	0.0	"priusquam"
"procedo, procedere, processi, processus"	"V"	5	0.0	"procedent; procedit; processerunt; processi; processit"
"puer, pueri"	"N"	5	0.0	"puer; pueri; puerum"
"puto, putare, putavi, putatus"	"V"	5	0.0	"putabant; putantes; putare; putatis; putaverunt"
"quare"	"ADV"	5	0.0	"quare"
"regnum, regni"	"N"	5	0.0	"regnum"
"resurgo, resurgere, resurrexi, resurrectus"	"V"	5	0.0	"resurget; resurrexisset; resurgere"
"sancio, sancire, sanxi, sanctus"	"V"	5	0.0	"sanctus; sancte; sancto; sanctum"
"sanctifico, sanctificare, sanctificavi, sanctificatus"	"V"	5	0.0	"sanctifica; sanctificarent; sanctificati; sanctificavit; sanctifico"
"sex, sextus -a -um, seni -ae -a, sexie(n)s"	"NUM"	5	0.0	"sex; sexta"
"sinus, sini"	"N"	5	0.0	"sine; sinum"
"solus, sola, solum (gen -ius)"	"ADJ"	5	0.0	"solus; solo"
"spondeo, spondere, spepondi, sponsus"	"V"	5	0.0	"sponsi; sponsam; sponsum; sponsus"
"synagoga, synagogae"	"N"	5	0.0	"synagoga; synagogam; synagogis"
"timeo, timere, timui, -"	"V"	5	0.0	"timere; timebant; timuerunt; timuit"
"traho, trahere, traxi, tractus"	"V"	5	0.0	"traham; trahentes; trahere; traxerit; traxit"
"vestimentum, vestimenti"	"N"	5	0.0	"vestimenta; vestimentum"
"Bethania, Bethaniae"	"N"	4	0.0	"bethania; bethaniam"
"Graecus, Graeci"	"N"	4	0.0	"graece; graeci; graecorum; graecos"
"Ioseph"	"N"	4	0.0	"ioseph"
"Isaias, Isaiae"	"N"	4	0.0	"isaias; isaiae"
"Israel, Israelis"	"N"	4	0.0	"israel"
"bonus, bona -um, melior -or -us, optimus -a -um"	"ADJ"	4	0.0	"bonus"
"buccella, buccellae"	"N"	4	0.0	"buccellam"
"canus, cana, canum"	"ADJ"	4	0.0	"cana"
"capio, capere, cepi, captus"	"V"	4	0.0	"capere; capientes; capit; capite"
"caput, capitis"	"N"	4	0.0	"caput; capiti"
"cena, cenae"	"N"	4	0.0	"cena; cenam"
"colligo, colligere, collegi, collectus"	"V"	4	0.0	"collegerunt; colligite; colligunt"
"confiteor, confiteri, confessus sum"	"V"	4	0.0	"confessus; confitebantur; confiteretur"
"continuus, continua, continuum"	"ADJ"	4	0.0	"continuo"
"crux, crucis"	"N"	4	0.0	"crucem; cruce"
"custodio, custodire, custodivi, custoditus"	"V"	4	0.0	"custodierit; custodiet; custodit; custodivi"
"deinde"	"ADV"	4	0.0	"deinde"
"domus, domi"	"N"	4	0.0	"domo; domi"
"dum"	"CONJ"	4	0.0	"dum"
"fur, furis"	"N"	4	0.0	"fur; fures"
"grabatus, grabati"	"N"	4	0.0	"grabatum"
"hortus, horti"	"N"	4	0.0	"horto; hortus"
"huc"	"ADV"	4	0.0	"huc"
"interpretor, interpretari, interpretatus sum"	"V"	4	0.0	"interpretatum; interpretatur"
"magus, magi"	"N"	4	0.0	"magis"
"manifestus, manifesta -um, manifestior -or -us, manifestissimus -a -um"	"ADJ"	4	0.0	"manifeste; manifesta; manifesto"
"meto, metere, messui, messus"	"V"	4	0.0	"metit; metere"
"multitudo, multitudinis"	"N"	4	0.0	"multitudo; multitudine"
"murmuro, murmurare, murmuravi, murmuratus"	"V"	4	0.0	"murmurabant; murmurantem; murmurare; murmurarent"
"nego, negare, negavi, negatus"	"V"	4	0.0	"negavit; neges"
"nullus, nulla, nullum (gen -ius)"	"ADJ"	4	0.0	"nullam; nullum"
"palmes, palmitis"	"N"	4	0.0	"palmes; palmitem; palmites"
"paraclitus, paracliti"	"N"	4	0.0	"paraclitus; paraclitum"
"perdo, perdere, perdidi, perditus"	"V"	4	0.0	"perdam; perdat; perdidi; perdit"
"plus, (gen.), pluris"	"ADJ"	4	0.0	"plures; plus"
"populus, populi"	"N"	4	0.0	"populo; populum; populus"
"postea"	"ADV"	4	0.0	"postea"
"praecipio, praecipere, praecepi, praeceptus"	"V"	4	0.0	"praecepta; praeceptum; praecipio"
"praetor, praetoris"	"N"	4	0.0	"praetorium"
"proverbium, proverbi(i)"	"N"	4	0.0	"proverbiis; proverbium"
"proximus, proxima, proximum"	"ADJ"	4	0.0	"proximum; proximo"
"quoniam"	"CONJ"	4	0.0	"quoniam"
"rapio, rapere, rapui, raptus"	"V"	4	0.0	"rapere; raperent; rapiet; rapit"
"resurrectio, resurrectionis"	"N"	4	0.0	"resurrectionem; resurrectio; resurrectione"
"resuscito, resuscitare, resuscitavi, resuscitatus"	"V"	4	0.0	"resuscitabo; resuscitem"
"rete, retis"	"N"	4	0.0	"rete"
"rogus, rogi"	"N"	4	0.0	"rogo"
"sino, sinere, sivi, situs"	"V"	4	0.0	"sinite; sitis"
"supra"	"PREP"	4	0.0	"supra"
"suscito, suscitare, suscitavi, suscitatus"	"V"	4	0.0	"suscitavit; suscitat"
"tamen"	"ADV"	4	0.0	"tamen"
"transeo, transire, transivi(ii), transitus"	"V"	4	0.0	"transeat; transi; transiit; transire"
"tristitia, tristitiae"	"N"	4	0.0	"tristitia; tristitiam"
"umquam"	"ADV"	4	0.0	"umquam"
"unigenitus, unigenita, unigenitum"	"ADJ"	4	0.0	"unigeniti; unigenitum; unigenitus"
"usque"	"ADV"	4	0.0	"usque"
"via, viae"	"N"	4	0.0	"viam; via"
"vox, vocis"	"N"	4	0.0	"vox; voce"
"Caesar, Caesaris"	"N"	3	0.0	"caesarem; caesari; caesaris"
"Didymus, Didymi"	"N"	3	0.0	"didymus"
"Iordanes, Iordanis"	"N"	3	0.0	"iordanem"
"Jacob, undeclined"	"N"	3	0.0	"iacob"
"Magdalene, Magdalenes"	"N"	3	0.0	"magdalene"
"Nazarenus, Nazareni"	"N"	3	0.0	"nazarenum; nazarenus"
"Samaria, Samariae"	"N"	3	0.0	"samaria; samariae; samariam"
"Tiberias, Tiberiadis"	"N"	3	0.0	"tiberiadis; tiberiade"
"accuso, accusare, accusavi, accusatus"	"V"	3	0.0	"accusare; accusaturus; accuset"
"acetum, aceti"	"N"	3	0.0	"aceto; acetum"
"agnus, agni"	"N"	3	0.0	"agnus; agnos"
"angelus, angeli"	"N"	3	0.0	"angelos; angelus"
"architriclinus, architriclini"	"N"	3	0.0	"architriclinus; architriclino"
"arguo, arguere, argui, argutus"	"V"	3	0.0	"arguantur; arguet; arguit"
"cado, cadere, cecidi, casus"	"V"	3	0.0	"cadens; ceciderunt; cecidit"
"calefacio, calefacere, calefeci, calefactus"	"V"	3	0.0	"calefaciens; calefaciebant"
"castellum, castelli"	"N"	3	0.0	"castello; castellum"
"causa, causae"	"N"	3	0.0	"causam"
"claritas, claritatis"	"N"	3	0.0	"claritatem; claritate"
"cogito, cogitare, cogitavi, cogitatus"	"V"	3	0.0	"cogitaverunt; cogitatis"
"columba, columbae"	"N"	3	0.0	"columbas; columbam"
"comprehendo, comprehendere, comprehendi, comprehensus"	"V"	3	0.0	"comprehenderunt; comprehendant"
"crucifixus, crucifixi"	"N"	3	0.0	"crucifixus"
"crus, cruris"	"N"	3	0.0	"crura"
"desuper"	"ADV"	3	0.0	"desuper"
"diabolus, diaboli"	"N"	3	0.0	"diabolus; diabolo"
"digitus, digiti"	"N"	3	0.0	"digitum; digito"
"dispergo, dispergere, dispersi, dispersus"	"V"	3	0.0	"dispergamini; dispergit; dispersi"
"doctrina, doctrinae"	"N"	3	0.0	"doctrina"
"egenus, egena, egenum"	"ADJ"	3	0.0	"egenis"
"eicio, eicere, eici, eictus"	"V"	3	0.0	"eicerentur; eiciam; eicietur"
"ejicio, ejicere, ejeci, ejectus"	"V"	3	0.0	"eiecerunt; eiecit"
"emo, emere, emi, emptus"	"V"	3	0.0	"eme; ememus; emerent"
"expedio, expedire, expedivi, expeditus"	"V"	3	0.0	"expedit"
"extergeo, extergere, extersi, extersus"	"V"	3	0.0	"extersit; extergere"
"fons, fontis"	"N"	3	0.0	"fons; fontem"
"forsitan"	"ADV"	3	0.0	"forsitan"
"frango, frangere, fregi, fractus"	"V"	3	0.0	"fregerunt; frangerentur"
"hydria, hydriae"	"N"	3	0.0	"hydriae; hydriam; hydrias"
"igitur"	"CONJ"	3	0.0	"igitur"
"illuc"	"ADV"	3	0.0	"illuc"
"jaceo, jacere, jacui, jacitus"	"V"	3	0.0	"iacebat; iacentem; iacerent"
"judicium, judici(i)"	"N"	3	0.0	"iudicio; iudicii"
"justus, justa -um, justior -or -us, justissimus -a -um"	"ADJ"	3	0.0	"iustum; iuste"
"latro, latronis"	"N"	3	0.0	"latro; latrones"
"linteamen, linteaminis"	"N"	3	0.0	"linteamina; linteaminibus"
"linteum, lintei"	"N"	3	0.0	"linteis; linteo; linteum"
"lumen, luminis"	"N"	3	0.0	"lumine; lumen"
"mane"	"ADV"	3	0.0	"mane"
"mendax, (gen.), mendacis"	"ADJ"	3	0.0	"mendax; mendacium"
"metus, metus"	"N"	3	0.0	"metum"
"ministro, ministrare, ministravi, ministratus"	"V"	3	0.0	"ministrabat; ministrat; ministraverit"
"morior, moriri, moritus sum"	"V"	3	0.0	"moriturus"
"occulto, occultare, occultavi, occultatus"	"V"	3	0.0	"occulto"
"odium, odi(i)"	"N"	3	0.0	"odio"
"parasceve, parasceves"	"N"	3	0.0	"parasceve; parascevem"
"pars, partis"	"N"	3	0.0	"partem; partes"
"pasco, pascere, pavi, pastus"	"V"	3	0.0	"pasce"
"persequor, persequi, persecutus sum"	"V"	3	0.0	"persecuti; persequebantur; persequentur"
"porto, portare, portavi, portatus"	"V"	3	0.0	"portabat; portans; portare"
"principium, principi(i)"	"N"	3	0.0	"principio"
"quattuor, quartus -a -um, quaterni -ae -a, -"	"NUM"	3	0.0	"quattuor"
"recordor, recordari, recordatus sum"	"V"	3	0.0	"recordati"
"regio, regionis"	"N"	3	0.0	"regione; regionem; regiones"
"rursum"	"ADV"	3	0.0	"rursum"
"salvo, salvare, salvavi, salvatus"	"V"	3	0.0	"salvabitur; salvator; salvetur"
"sano, sanare, sanavi, sanatus"	"V"	3	0.0	"sanaret; sanatus; sanem"
"secor, seci, secutus sum"	"V"	3	0.0	"secuti"
"seipse, seipsa, seipsum"	"PRON"	3	0.0	"seipsos; seipsum"
"semen, seminis"	"N"	3	0.0	"semen; semine"
"significo, significare, significavi, significatus"	"V"	3	0.0	"significans"
"similiter"	"ADV"	3	0.0	"similiter"
"simul"	"ADV"	3	0.0	"simul"
"statim"	"ADV"	3	0.0	"statim"
"tunica, tunicae"	"N"	3	0.0	"tunicam; tunica"
"ungo, ungere, unxi, unctus"	"V"	3	0.0	"unxit"
"unguo, unguere, unxi, unctus"	"V"	3	0.0	"unguenti; unguentum"
"unusquisque"	"X"	3	0.0	"unusquisque"
"verax, veracis (gen.), veracior -or -us, veracissimus -a -um"	"ADJ"	3	0.0	"verax"
"vivifico, vivificare, vivificavi, vivificatus"	"V"	3	0.0	"vivificat"
"-, -, deterior -or -us, deterrimus -a -um"	"ADJ"	2	0.0	"deterius"
"Barabbas, Barabbae"	"N"	2	0.0	"barabbam; barabbas"
"Bethsaida, Bethsaidae"	"N"	2	0.0	"bethsaida"
"David, undeclined"	"N"	2	0.0	"david"
"Elias, Eliae"	"N"	2	0.0	"elias"
"Gallus, Galli"	"N"	2	0.0	"gallus"
"Messias, Messiae"	"N"	2	0.0	"messiam; messias"
"Nazareth, undeclined"	"N"	2	0.0	"nazareth"
"Siloa, Siloae"	"N"	2	0.0	"siloae; siloam"
"abs"	"PREP"	2	0.0	"abs; absque"
"abscido, abscidere, abscidi, abscisus"	"V"	2	0.0	"abscidit"
"abscondo, abscondere, abscondi, absconditus"	"V"	2	0.0	"abscondit"
"adsum, adesse, adfui, adfuturus"	"V"	2	0.0	"adest"
"adulterium, adulteri(i)"	"N"	2	0.0	"adulterio"
"advenio, advenire, adveni, adventus"	"V"	2	0.0	"advenerit; adveniebant"
"adversus, adversa -um, adversior -or -us, adversissimus -a -um"	"ADJ"	2	0.0	"adversum; adversus"
"aetas, aetatis"	"N"	2	0.0	"aetatem"
"alapa, alapae"	"N"	2	0.0	"alapam; alapas"
"albus, alba -um, albior -or -us, albissimus -a -um"	"ADJ"	2	0.0	"albae; albis"
"alienus, aliena -um, alienior -or -us, alienissimus -a -um"	"ADJ"	2	0.0	"alienorum; alienum"
"amodo"	"ADV"	2	0.0	"amodo"
"an"	"CONJ"	2	0.0	"an"
"arbitror, arbitrari, arbitratus sum"	"V"	2	0.0	"arbitretur; arbitror"
"ardeo, ardere, arsi, arsus"	"V"	2	0.0	"ardens; ardent"
"at"	"CONJ"	2	0.0	"at"
"auricula, auriculae"	"N"	2	0.0	"auriculam"
"beatus, beata -um, beatior -or -us, beatissimus -a -um"	"ADJ"	2	0.0	"beati"
"bos, bovis"	"N"	2	0.0	"boves"
"canto, cantare, cantavi, cantatus"	"V"	2	0.0	"cantabit; cantavit"
"capillus, capilli"	"N"	2	0.0	"capillis"
"centum, centesimus -a -um, centeni -ae -a, centie(n)s"	"NUM"	2	0.0	"centum"
"cieo, ciere, civi, citus"	"V"	2	0.0	"cito"
"cingo, cingere, cinxi, cinctus"	"V"	2	0.0	"cingebas; cinget"
"circumcisio, circumcisionis"	"N"	2	0.0	"circumcisionem"
"circumdo, circumdare, circumdedi, circumdatus"	"V"	2	0.0	"circumdederunt"
"citus, cita -um, citior -or -us, citissimus -a -um"	"ADJ"	2	0.0	"citius"
"claudo, claudere, clausi, clausus"	"V"	2	0.0	"clausae; clausis"
"clavus, clavi"	"N"	2	0.0	"clavorum"
"cohors, cohortis"	"N"	2	0.0	"cohors; cohortem"
"condemno, condemnare, condemnavi, condemnatus"	"V"	2	0.0	"condemnavit; condemno"
"congrego, congregare, congregavi, congregatus"	"V"	2	0.0	"congregaret; congregat"
"consolor, consolari, consolatus sum"	"V"	2	0.0	"consolabantur; consolarentur"
"contristo, contristare, contristavi, contristatus"	"V"	2	0.0	"contristabimini; contristatus"
"convenio, convenire, conveni, conventus"	"V"	2	0.0	"convenerat; conveniunt"
"corona, coronae"	"N"	2	0.0	"coronam"
"crastinus, crastina, crastinum"	"ADJ"	2	0.0	"crastinum"
"curro, currere, cucurri, cursus"	"V"	2	0.0	"currebant; currit"
"debeo, debere, debui, debitus"	"V"	2	0.0	"debet; debetis"
"demonstro, demonstrare, demonstravi, demonstratus"	"V"	2	0.0	"demonstrabit; demonstrat"
"denarius, denarii"	"N"	2	0.0	"denariis; denariorum"
"deorsum"	"ADV"	2	0.0	"deorsum"
"deprehendo, deprehendere, deprehendi, deprehensus"	"V"	2	0.0	"deprehensa; deprehensam"
"disco, discere, didici, discitus"	"V"	2	0.0	"didicerit; didicit"
"dissensio, dissensionis"	"N"	2	0.0	"dissensio"
"dormio, dormire, dormivi, dormitus"	"V"	2	0.0	"dormit"
"duco, ducere, duxi, ductus"	"V"	2	0.0	"ducentis; ducet"
"educo, educere, eduxi, eductus"	"V"	2	0.0	"educit; eduxit"
"efficio, efficere, effeci, effectus"	"V"	2	0.0	"effectus; efficiamini"
"egredior, egredi, egressus sum"	"V"	2	0.0	"egredietur; egressus"
"erigo, erigere, erexi, erectus"	"V"	2	0.0	"erexit; erigens"
"etiam"	"CONJ"	2	0.0	"etiam"
"excito, excitare, excitavi, excitatus"	"V"	2	0.0	"excitabis; excitabo"
"exsulto, exsultare, exsultavi, exsultatus"	"V"	2	0.0	"exsultare; exsultavit"
"ficus, ficus"	"N"	2	0.0	"ficu"
"fleo, flere, flevi, fletus"	"V"	2	0.0	"flebitis; fleret"
"forum, fori"	"N"	2	0.0	"foris"
"fragmentum, fragmenti"	"N"	2	0.0	"fragmenta; fragmentorum"
"fremo, fremere, fremui, fremitus"	"V"	2	0.0	"fremens; fremuit"
"fugio, fugere, fugi, fugitus"	"V"	2	0.0	"fugient; fugit"
"gladius, gladi(i)"	"N"	2	0.0	"gladium"
"gusto, gustare, gustavi, gustatus"	"V"	2	0.0	"gustabit; gustavit"
"hordeaceus, hordeacea, hordeaceum"	"ADJ"	2	0.0	"hordeaceis; hordeaceos"
"incipio, incipere, incepi, inceptus"	"V"	2	0.0	"incipiebat; incipientes"
"incredulus, incredula, incredulum"	"ADJ"	2	0.0	"incredulus"
"inde"	"ADV"	2	0.0	"inde"
"infirmitas, infirmitatis"	"N"	2	0.0	"infirmitas; infirmitate"
"ingredior, ingredi, ingressus sum"	"V"	2	0.0	"ingredietur; ingressus"
"inter"	"PREP"	2	0.0	"inter"
"intingo, intingere, intinxi, intinctus"	"V"	2	0.0	"intinctam; intinxisset"
"intro, intrare, intravi, intratus"	"V"	2	0.0	"intrat"
"ita"	"ADV"	2	0.0	"ita"
"justitia, justitiae"	"N"	2	0.0	"iustitia"
"laboro, laborare, laboravi, laboratus"	"V"	2	0.0	"laborastis; laboraverunt"
"langueo, languere, -, -"	"V"	2	0.0	"languens; languentium"
"levo, levare, levavi, levatus"	"V"	2	0.0	"levate; levavit"
"liber, liberi"	"N"	2	0.0	"liberi"
"liber, libri"	"N"	2	0.0	"libro; libros"
"libero, liberare, liberavi, liberatus"	"V"	2	0.0	"liberabit; liberaverit"
"libra, librae"	"N"	2	0.0	"libram; libras"
"licet, licere, licuit, licitus est"	"V"	2	0.0	"licet"
"littera, litterae"	"N"	2	0.0	"litteras; litteris"
"loculus, loculi"	"N"	2	0.0	"loculos"
"loquela, loquelae"	"N"	2	0.0	"loquelam"
"luceo, lucere, luxi, -"	"V"	2	0.0	"lucens; lucet"
"lucus, luci"	"N"	2	0.0	"luce; lucis"
"lupus, lupi"	"N"	2	0.0	"lupum; lupus"
"malo, malle, malui, -"	"V"	2	0.0	"malo"
"manna, mannae"	"N"	2	0.0	"manna"
"mansio, mansionis"	"N"	2	0.0	"mansionem; mansiones"
"mercennarius, mercennarii"	"N"	2	0.0	"mercennarius"
"messis, messis"	"N"	2	0.0	"messem; messis"
"navicula, naviculae"	"N"	2	0.0	"navicula; naviculas"
"navigium, navigi(i)"	"N"	2	0.0	"navigii; navigio"
"ne"	"ADV"	2	0.0	"ne"
"nummularius, nummulari(i)"	"N"	2	0.0	"nummulariorum; nummularios"
"nuptia, nuptiae"	"N"	2	0.0	"nuptiae; nuptias"
"obvius, obvia, obvium"	"ADJ"	2	0.0	"obviam"
"occurro, occurrere, occurri, occursus"	"V"	2	0.0	"occurrerat; occurrerunt"
"octo, octavus -a -um, octoni -ae -a, octie(n)s"	"NUM"	2	0.0	"octo"
"offendo, offendere, offendi, offensus"	"V"	2	0.0	"offendit"
"os, oris"	"N"	2	0.0	"ori; os"
"ovile, ovilis"	"N"	2	0.0	"ovile; ovili"
"pario, parere, peperi, partus"	"V"	2	0.0	"parit; pepererit"
"paro, parare, paravi, paratus"	"V"	2	0.0	"parare; paratum"
"pectus, pectoris"	"N"	2	0.0	"pectus"
"perficio, perficere, perfeci, perfectus"	"V"	2	0.0	"perficiam"
"pertineo, pertinere, pertinui, pertentus"	"V"	2	0.0	"pertinebat; pertinet"
"piscina, piscinae"	"N"	2	0.0	"piscina; piscinam"
"porticus, porticus"	"N"	2	0.0	"porticu; porticus"
"posco, poscere, poposci, -"	"V"	2	0.0	"poposceris; poscis"
"praecingo, praecingere, praecinxi, praecinctus"	"V"	2	0.0	"praecinctus; praecinxit"
"prandeo, prandere, prandi, pransus"	"V"	2	0.0	"prandete; prandissent"
"premo, premere, pressi, pressus"	"V"	2	0.0	"pressurae; pressuram"
"prendo, prendere, prendidi, prenditus"	"V"	2	0.0	"prendiderunt; prendidistis"
"prope"	"PREP"	2	0.0	"prope"
"pruna, prunae"	"N"	2	0.0	"prunas"
"purificatio, purificationis"	"N"	2	0.0	"purificatione; purificationem"
"purpureus, purpurea, purpureum"	"ADJ"	2	0.0	"purpurea; purpureum"
"puteus, putei"	"N"	2	0.0	"puteum; puteus"
"quinquaginta, quinquagesimus -a -um, quinquageni -ae -a, quinquagie(n)s"	"NUM"	2	0.0	"quinquaginta"
"quotquot"	"NUM"	2	0.0	"quotquot"
"recubo, recubare, recubui, recubitus"	"V"	2	0.0	"recubuisset; recubuit"
"recumbo, recumbere, recubui, -"	"V"	2	0.0	"recumbens; recumberet"
"regius, regia, regium"	"ADJ"	2	0.0	"regius"
"remaneo, remanere, remansi, remansus"	"V"	2	0.0	"remanerent; remansit"
"retineo, retinere, retinui, retentus"	"V"	2	0.0	"retenta; retinueritis"
"retrorsum"	"ADV"	2	0.0	"retrorsum"
"sacerdos, sacerdotis"	"N"	2	0.0	"sacerdotes; sacerdotum"
"salvifico, salvificare, salvificavi, salvificatus"	"V"	2	0.0	"salvifica; salvificem"
"salvus, salva, salvum"	"ADJ"	2	0.0	"salvi; salvus"
"scandalizo, scandalizare, scandalizavi, scandalizatus"	"V"	2	0.0	"scandalizat; scandalizemini"
"scindo, scindere, scidi, scissus"	"V"	2	0.0	"scindamus; scissum"
"scrutor, scrutari, scrutatus sum"	"V"	2	0.0	"scrutamini; scrutare"
"seduco, seducere, seduxi, seductus"	"V"	2	0.0	"seducit; seducti"
"semino, seminare, seminavi, seminatus"	"V"	2	0.0	"seminat"
"senex, senis (gen.), senior -or -us, -"	"ADJ"	2	0.0	"senex; senioribus"
"sepelio, sepelire, sepelivi, sepultus"	"V"	2	0.0	"sepelire; sepulturae"
"serus, sera -um, serior -or -us, serissimus -a -um"	"ADJ"	2	0.0	"sero"
"signo, signare, signavi, signatus"	"V"	2	0.0	"signavit"
"similis, simile, similior -or -us, simillimus -a -um"	"ADJ"	2	0.0	"similis"
"singulus, singula, singulum"	"ADJ"	2	0.0	"singula; singulae"
"somnus, somni"	"N"	2	0.0	"somni; somno"
"stadium, stadi(i)"	"N"	2	0.0	"stadia; stadiis"
"sub"	"PREP"	2	0.0	"sub"
"sublevo, sublevare, sublevavi, sublevatus"	"V"	2	0.0	"sublevasset; sublevatis"
"sudarium, sudari(i)"	"N"	2	0.0	"sudario; sudarium"
"sufficio, sufficere, suffeci, suffectus"	"V"	2	0.0	"sufficit; sufficiunt"
"sumo, sumere, sumpsi, sumptus"	"V"	2	0.0	"sumam; sumendi"
"superpono, superponere, superposui, superpositus"	"V"	2	0.0	"superpositum; superpositus"
"sursum"	"ADV"	2	0.0	"sursum"
"tento, tentare, tentavi, tentatus"	"V"	2	0.0	"tentans; tentantes"
"testor, testari, testatus sum"	"V"	2	0.0	"testamur; testatur"
"titulus, tituli"	"N"	2	0.0	"titulum"
"triginta, tricesimus -a -um, triceni -ae -a, tricie(n)s"	"NUM"	2	0.0	"triginta"
"tumet, tuimet"	"PRON"	2	0.0	"temet"
"utor, uti, usus sum"	"V"	2	0.0	"utique"
"vendo, vendere, vendidi, venditus"	"V"	2	0.0	"vendebant; vendentes"
"venter, ventris"	"N"	2	0.0	"ventre; ventrem"
"vestis, vestis"	"N"	2	0.0	"veste; vestem"
"virus, viri"	"N"	2	0.0	"viri"
"vis"	"X"	2	0.0	"vis"
"vult"	"X"	2	0.0	"vult"
"Annas, Annae"	"N"	1	0.0	"annam"
"Arimathaea (Arimathia), Arimathaeae"	"N"	1	0.0	"arimathaea"
"Bethlehem"	"N"	1	0.0	"bethlehem"
"Bethsatha, Bethsathae"	"N"	1	0.0	"bethsatha"
"Cedron"	"N"	1	0.0	"cedron"
"Cephas, undeclined"	"N"	1	0.0	"cephas"
"Cleopas, Cleopae"	"N"	1	0.0	"cleopae"
"Enon"	"N"	1	0.0	"enon"
"Ephraim"	"N"	1	0.0	"ephraim"
"Gabbatha"	"N"	1	0.0	"gabbatha"
"Galilaeus, Galilaea, Galilaeum"	"ADJ"	1	0.0	"galilaei"
"Golgotha"	"N"	1	0.0	"golgotha"
"Hosanna"	"INTERJ"	1	0.0	"hosanna"
"Israelita, Israelitae"	"N"	1	0.0	"israelita"
"Latinus, Latina, Latinum"	"ADJ"	1	0.0	"latine"
"Levita, Levitae"	"N"	1	0.0	"levitas"
"Malchus"	"N"	1	0.0	"malchus"
"Salim"	"N"	1	0.0	"salim"
"Salomon, Salomonis"	"N"	1	0.0	"salomonis"
"Satanas, Satanae"	"N"	1	0.0	"satanas"
"Sichar"	"N"	1	0.0	"sichar"
"Sion"	"N"	1	0.0	"sion"
"Zebedaeus, Zebedaei"	"N"	1	0.0	"zebedaei"
"abundans, abundantis (gen.), abundantior -or -us, abundantissimus -a -um"	"ADJ"	1	0.0	"abundantius"
"accedo, accedere, accessi, accessus"	"V"	1	0.0	"accesserunt"
"accusatio, accusationis"	"N"	1	0.0	"accusationem"
"adorator, adoratoris"	"N"	1	0.0	"adoratores"
"aedifico, aedificare, aedificavi, aedificatus"	"V"	1	0.0	"aedificatum"
"aequalis, aequale, aequalior -or -us, aequalissimus -a -um"	"ADJ"	1	0.0	"aequalem"
"aes, aeris"	"N"	1	0.0	"aes"
"agricola, agricolae"	"N"	1	0.0	"agricola"
"alioquin"	"ADV"	1	0.0	"alioquin"
"aliunde"	"ADV"	1	0.0	"aliunde"
"alo, alere, alui, altus"	"V"	1	0.0	"altus"
"aloe, aloes"	"N"	1	0.0	"aloes"
"amplus, ampla -um, amplior -or -us, amplissimus -a -um"	"ADJ"	1	0.0	"amplius"
"ancilla, ancillae"	"N"	1	0.0	"ancilla"
"anno, annare, annavi, annatus"	"V"	1	0.0	"annas"
"antea"	"ADV"	1	0.0	"antea"
"antequam"	"CONJ"	1	0.0	"antequam"
"apostolus, apostoli"	"N"	1	0.0	"apostolus"
"areo, arere, arui, -"	"V"	1	0.0	"aruit"
