"headword"	"pos"	"count"	"%"	"words"
"iterum"	"ADV"	43	0.3	"iterum"
"qu"	"PACK"	43	0.3	"quidam; quidquam; quaecumque; quemquam; quodcumque; quisquam; nequaquam; quamquam; quisnam; quoque"
"testimonium, testimoni(i)"	"N"	43	0.3	"testimonium"
"nos, nostri, nostrum"	"PRON"	41	0.3	"nos; nobis; nostri; nostrum"
"diligo, diligere, dilexi, dilectus"	"V"	39	0.3	"diligit; diligebat; dilexisti; diligatis; dilexi; dilexit; dilexerunt; diligeretis; diligis; dilexisset; diligam; diligeret; diliget; diligetur; diligitis; diligo"
"maneo, manere, mansi, mansus"	"V"	38	0.3	"manet; mansit; maneat; manens; manseritis; manere; maneret; manete; manserit; manserunt; manebitis; manentem; maneo; manes; manserint"
"possum, posse, potui, -"	"V"	38	0.3	"potest; potestis; possum; poterat; possent; possumus; possunt; poterant; potes"
"vita, vitae"	"N"	38	0.3	"vitam; vita; vitae; vitis"
"morior, mori, mortuus sum"	"V"	36	0.3	"mortuus; mortuis; mortui; mori; moriatur; moriemini; mortuum; moritur; moreretur; moriamur; morietur; mortuos"
"unus -a -um, primus -a -um, singuli -ae -a, semel"	"NUM"	36	0.3	"unus; unum; una"
"scribo, scribere, scripsi, scriptus"	"V"	35	0.3	"scriptura; scriptum; scripsit; scripta; scribebat; scripsi; scribantur; scribendi; scribere; scripturae; scripturam; scripturas; scriptus"
"Petrus, Petri"	"N"	34	0.2	"petrus; petro; petri; petrum"
"multus, multa -um, -, plurimus -a -um"	"ADJ"	34	0.2	"multi; multa; multum; multae; multis; multo; multus"
"quaero, quaerere, quaesivi, quaesitus"	"V"	34	0.2	"quaeritis; quaerebant; quaerit; quaeretis; quaeris; quaero; quaerebat; quaerentes; quaerunt"
"tuus, tua, tuum"	"ADJ"	34	0.2	"tuum; tuus; tua; tuam; tuo; tuos; tuae; tuas"
"ubi"	"CONJ"	34	0.2	"ubi"
"alius, alia, aliud"	"ADJ"	33	0.2	"alii; alius; alia; alium; aliae; alias; alios"
"verus, vera -um, verior -or -us, verissimus -a -um"	"ADJ"	33	0.2	"verum; vere; vero; vera; verus; veri"
"jam"	"ADV"	32	0.2	"iam"
"sicut"	"ADV"	32	0.2	"sicut"
"sermo, sermonis"	"N"	31	0.2	"sermo; sermonem; sermones; sermoni; sermone; sermonis"
"opus, operis"	"N"	30	0.2	"opera; opus; opere; operibus"
"perhibeo, perhibere, perhibui, perhibitus"	"V"	30	0.2	"perhibet; perhibuit; perhibeo; perhibent; perhiberet; perhibetis; perhibe; perhibeam; perhibebat; perhibebit; perhibentis; perhibes; perhibui; perhibuisti"
"aeternus, aeterna -um, aeternior -or -us, aeternissimus -a -um"	"ADJ"	29	0.2	"aeternam; aeternum; aeterna; aeternae"
"sui, sibi, se"	"PRON"	29	0.2	"se; sui; sibi"
"nemo, neminis"	"N"	28	0.2	"nemo; nemini"
"nunc"	"ADV"	28	0.2	"nunc"
"hora, horae"	"N"	26	0.2	"hora; horam; horae"
"pono, ponere, posui, positus"	"V"	26	0.2	"ponit; pono; positum; posuerunt; posita; posuit; ponam; ponat; ponendi; pones; positae; positas; positus; posui; posuisti; posuistis"
"Simon, Simonis"	"N"	25	0.2	"simon; simonis; simonem; simoni"
"abeo, abire, abivi(ii), abitus"	"V"	25	0.2	"abiit; abierunt; abiero; abire; abibant; abierant; abii; abiissent"
"pecco, peccare, peccavi, peccatus"	"V"	25	0.2	"peccatum; peccato; peccatis; peccator; peccare; peccavit; peccata; peccati"
"propter"	"PREP"	25	0.2	"propter"
"veritas, veritatis"	"N"	25	0.2	"veritatem; veritas; veritate; veritatis; veritati"
"exeo, exire, exivi(ii), exitus"	"V"	24	0.2	"exivit; exiit; exivi; exierunt; exibant; exire; exisset; existi"
"nisi"	"CONJ"	24	0.2	"nisi"
"nomen, nominis"	"N"	24	0.2	"nomine; nomen"
"panis, panis"	"N"	24	0.2	"panem; panis; panes; panibus; pane"
"spiritus, spiritus"	"N"	24	0.2	"spiritu; spiritus; spiritum"
"voco, vocare, vocavi, vocatus"	"V"	24	0.2	"vocem; vocat; vocavit; vocaverunt; voca; vocaberis; vocaret; vocatis; vocatus"
"Joannes, Joannis"	"N"	23	0.2	"ioannes; ioannis; ioanne; ioannem"
"numquid"	"ADV"	23	0.2	"numquid"
"suus, sui"	"N"	23	0.2	"suis; suum; suo; suorum; suos"
"vadum, vadi"	"N"	23	0.2	"vado; vadis"
"mulier, mulieris"	"N"	22	0.2	"mulier; muliere; mulierem; mulieri; mulieris"
"nescio, nescire, nescivi, nescitus"	"V"	22	0.2	"nescimus; nescitis; nescio; nesciebam; nescis; nescit; nesciebat; nesciunt"
"aqua, aquae"	"N"	21	0.2	"aqua; aquam; aquae"
"manduco, manducare, manducavi, manducatus"	"V"	21	0.2	"manducat; manducaverunt; manducare; manducaverit; manduca; manducandum; manducarent; manducastis; manducaverant; manducaveritis; manducent"
"neque"	"CONJ"	21	0.2	"neque"
"quomodo"	"ADV"	21	0.2	"quomodo"
"sto, stare, steti, status"	"V"	21	0.2	"stabat; stans; stetit; stabant; stantem; stat; stantes"
"tollo, tollere, sustuli, sublatus"	"V"	21	0.2	"tolle; tollit; sublatum; sustulerunt; sustulisti; sustulit; tollam; tollas; tollent; tollere; tollerentur; tolleret; tollis; tollite"
"verbum, verbi"	"N"	21	0.2	"verba; verbum; verbis"
"Pilatus, Pilati"	"N"	20	0.1	"pilatus; pilatum; pilato"
"duo -ae o, secundus -a -um, bini -ae -a, bis"	"NUM"	20	0.1	"secundum; duos; duo; duobus; binas; duorum; secundo"
"interrogo, interrogare, interrogavi, interrogatus"	"V"	20	0.1	"interrogaverunt; interrogare; interrogate; interrogavit; interroga; interrogabant; interrogabat; interrogantes; interrogarent; interrogaret; interrogas; interrogat; interroget"
"magnus, magna -um, major -or -us, maximus -a -um"	"ADJ"	20	0.1	"maior; magna; maiora; maius; magno; magnis; magnus; maiorem"
"pharisaei, pharisaeorum"	"N"	20	0.1	"pharisaei; pharisaeis; pharisaeos"
"pontifex, pontificis"	"N"	20	0.1	"pontifices; pontifex; pontifici; pontificis; pontificem; pontificibus"
"Christus, Christi"	"N"	19	0.1	"christus; christum"
"ascendo, ascendere, ascendi, ascensus"	"V"	19	0.1	"ascendit; ascenderunt; ascendo; ascendentem; ascendentes; ascenderant; ascendi; ascendissent; ascendite"
"ecce"	"INTERJ"	19	0.1	"ecce"
"invenio, invenire, inveni, inventus"	"V"	19	0.1	"invenit; invenietis; invenio; invenimus; inveniemus; inveniet; invenissent; invenisset"
"mare, maris"	"N"	19	0.1	"maria; mare"
"ovis, ovis"	"N"	19	0.1	"oves; ovibus; ovium"
"pro"	"PREP"	19	0.1	"pro"
"signum, signi"	"N"	19	0.1	"signa; signum; signorum"
