"#"	"headword"	"pos"	"count"	"%"	"words"
38	"tuus, tua, tuum"	"ADJ"	34	0.2	"tuum; tuus; tua; tuam; tuo; tuos; tuae; tuas"
39	"alius, alia, aliud"	"ADJ"	33	0.2	"alii; alius; alia; alium; aliae; alias; alios"
40	"verus, vera -um, verior -or -us, verissimus -a -um"	"ADJ"	33	0.2	"verum; vere; vero; vera; verus; veri"
41	"sermo, sermonis"	"N"	31	0.2	"sermo; sermonem; sermones; sermoni; sermone; sermonis"
42	"opus, operis"	"N"	30	0.2	"opera; opus; opere; operibus"
43	"perhibeo, perhibere, perhibui, perhibitus"	"V"	30	0.2	"perhibet; perhibuit; perhibeo; perhibent; perhiberet; perhibetis; perhibe; perhibeam; perhibebat; perhibebit; perhibentis; perhibes; perhibui; perhibuisti"
44	"aeternus, aeterna -um, aeternior -or -us, aeternissimus -a -um"	"ADJ"	29	0.2	"aeternam; aeternum; aeterna; aeternae"
45	"nemo, neminis"	"N"	28	0.2	"nemo; nemini"
46	"hora, horae"	"N"	26	0.2	"hora; horam; horae"
47	"pono, ponere, posui, positus"	"V"	26	0.2	"ponit; pono; positum; posuerunt; posita; posuit; ponam; ponat; ponendi; pones; positae; positas; positus; posui; posuisti; posuistis"
48	"Simon, Simonis"	"N"	25	0.2	"simon; simonis; simonem; simoni"
49	"abeo, abire, abivi(ii), abitus"	"V"	25	0.2	"abiit; abierunt; abiero; abire; abibant; abierant; abii; abiissent"
50	"pecco, peccare, peccavi, peccatus"	"V"	25	0.2	"peccatum; peccato; peccatis; peccator; peccare; peccavit; peccata; peccati"
